16384,1024,4194304,10,True,39
32768,1024,4194304,2,True,43
65536,1024,4194304,1,True,48
16384,1024,2097152,1,True,60
32768,1024,2097152,6,True,44
65536,1024,2097152,2,True,47
2048,256,4194304,6,True,53
4096,256,4194304,2,True,56
16384,512,2097152,10,True,51
8192,1024,1048576,1,True,59
1024,128,4194304,1,True,62
2048,256,2097152,8,True,54
1024,512,1048576,1,True,60
2048,512,1048576,6,True,55
65536,512,1048576,1,True,59
512,256,1048576,1,True,60
1024,256,1048576,1,True,59
1024,256,1048576,12,True,46
4096,512,524288,12,True,46
16384,1024,262144,4,True,51
1024,60,4194304,12,True,53
2048,60,4194304,2,True,60
16384,128,1048576,4,True,55
65536,128,1048576,6,True,54
512,256,524288,10,True,52
1024,256,524288,10,True,52
4096,256,524288,10,True,53
16384,256,524288,4,True,57
1024,1024,131072,4,True,57
2048,1024,131072,12,True,51
8192,1024,131072,8,True,54
16384,1024,131072,2,True,60
16384,1024,131072,12,True,51
512,60,2097152,12,True,53
1024,60,2097152,1,True,62
4096,60,2097152,4,True,60
1024,128,524288,6,True,59
1024,128,524288,10,True,57
2048,128,524288,6,True,58
512,256,262144,10,True,54
4096,256,262144,1,True,63
512,512,131072,10,True,54
4096,512,131072,12,True,53
65536,512,131072,12,True,54
4096,1024,65536,12,True,53
16384,30,2097152,8,True,59
4096,60,1048576,6,True,60
4096,60,1048576,8,True,59
4096,128,262144,1,True,66
8192,256,131072,8,True,60
16384,256,131072,6,True,61
65536,512,65536,6,True,60
512,15,2097152,4,True,62
512,15,2097152,12,True,57
4096,30,1048576,8,True,142
8192,30,1048576,1,True,67
65536,30,1048576,1,True,67
8192,7,4194304,12,True,58
32768,7,4194304,12,True,58
65536,7,4194304,2,True,70
512,128,131072,1,True,68
65536,128,131072,12,True,60
8192,256,65536,12,True,59
512,15,1048576,12,True,60
2048,7,2097152,6,True,62
4096,7,2097152,1,True,74
8192,7,2097152,8,True,61
32768,7,2097152,12,True,60
512,128,65536,6,True,59
65536,128,65536,12,True,59
2048,7,1048576,1,True,76
4096,7,1048576,1,True,77
16384,7,1048576,10,True,60
32768,7,1048576,6,True,64
65536,7,1048576,10,True,61
65536,15,262144,1,True,77
512,30,131072,10,True,61
32768,30,131072,1,True,141
65536,30,131072,10,True,148
512,60,65536,8,True,61
8192,60,65536,12,True,57
16384,60,65536,6,True,60
4096,15,131072,4,True,61
4096,15,131072,6,True,61
512,30,65536,8,True,60
1024,30,65536,2,True,70
8192,30,65536,4,True,66
32768,30,65536,8,True,62
32768,30,65536,10,True,60
2048,7,262144,6,True,61
4096,7,262144,2,True,72
512,15,65536,6,True,61
2048,15,65536,2,True,74
2048,15,65536,12,True,60
512,7,131072,12,True,60
